==29279== NVPROF is profiling process 29279, command: ./relu_cuda_float_256 -s 1024
==29279== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29279== Profiling application: ./relu_cuda_float_256 -s 1024
==29279== Profiling result:
==29279== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"achieved_occupancy","Achieved Occupancy",0.849690,0.849690,0.849690
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"sm_efficiency","Multiprocessor Activity",98.881897%,98.881897%,98.881897%
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"gld_efficiency","Global Memory Load Efficiency",25.003052%,25.003052%,25.003052%
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"l2_utilization","L2 Cache Utilization","Low (3)","Low (3)","Low (3)"
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"inst_fp_16","HP Instructions(Half)",0,0,0
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"inst_fp_32","FP Instructions(Single)",1048576,1048576,1048576
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"inst_integer","Integer Instructions",7340032,7340032,7340032
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Xavier (0)","relu_kernel(float const *, float*, int)",1,"ipc","Executed IPC",0.349013,0.349013,0.349013
