==28988== NVPROF is profiling process 28988, command: ./matrix_multiplication_cuda_float_256 -s 256
==28988== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28988== Profiling application: ./matrix_multiplication_cuda_float_256 -s 256
==28988== Profiling result:
==28988== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"achieved_occupancy","Achieved Occupancy",0.926935,0.939483,0.931231
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"sm_efficiency","Multiprocessor Activity",98.966949%,99.012004%,98.987931%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"gld_efficiency","Global Memory Load Efficiency",13.235294%,13.235297%,13.235296%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_fp_16","HP Instructions(Half)",0,0,0
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_fp_32","FP Instructions(Single)",16777216,16777216,16777216
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_fp_64","FP Instructions(Double)",0,0,0
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_integer","Integer Instructions",86114304,86114304,86114304
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"ipc","Executed IPC",0.486454,0.486629,0.486544
